Index,Start X,Start Y,End X,End Y,Image Width,Image Height
0,478.2965196807314,795.8667738193989,435.5914732806661,795.8667738193989,1024,846
1,435.5914732806661,795.8667738193989,389.00414993514033,796.643229208491,1024,846
2,389.00414993514033,796.643229208491,389.7806053242324,749.2794504738731,1024,846
3,389.7806053242324,749.2794504738731,435.5914732806661,749.2794504738731,1024,846
4,435.5914732806661,749.2794504738731,435.5914732806661,795.8667738193989,1024,846
5,435.5914732806661,749.2794504738731,436.3679286697582,656.1048037828215,1024,846
6,436.3679286697582,656.1048037828215,460.4811821421184,656.7518499403984,1024,846
7,436.3679286697582,656.1048037828215,388.76689967736223,656.2126448090844,1024,846
8,436.3679286697582,656.1048037828215,436.21695123299037,470.72607963708356,1024,846
9,436.21695123299037,470.72607963708356,316.51341208129213,469.64766937445563,1024,846
10,285.2395144650827,748.9559273950848,268.5241553943501,748.9559273950848,1024,846
11,268.5241553943501,748.9559273950848,267.44574513172216,723.0740810920149,1024,846
12,268.5241553943501,748.9559273950848,230.77979620237315,747.8775171324569,1024,846
13,230.77979620237315,747.8775171324569,212.98602686901262,748.9559273950848,1024,846
14,230.77979620237315,747.8775171324569,230.2405910710592,722.534875960701,1024,846
15,230.2405910710592,722.534875960701,249.6519757983616,721.4564656980731,1024,846
16,249.6519757983616,721.4564656980731,267.44574513172216,723.0740810920149,1024,846
17,249.6519757983616,721.4564656980731,249.6519757983616,656.2126448090844,1024,846
18,249.6519757983616,656.2126448090844,278.22984775800126,656.2126448090844,1024,846
19,249.6519757983616,656.2126448090844,204.35874476798932,656.2126448090844,1024,846
20,249.6519757983616,656.2126448090844,248.5735655357337,470.72607963708356,1024,846
21,101.90976981833768,750.0343376577127,64.16541062636077,748.9559273950848,1024,846
22,64.16541062636077,748.9559273950848,64.16541062636077,655.6734396777705,1024,846
23,64.16541062636077,655.6734396777705,93.28248771731438,656.7518499403984,1024,846
24,64.16541062636077,655.6734396777705,62.54779523241889,470.1868745057696,1024,846
25,62.54779523241889,470.1868745057696,177.3984882022915,469.64766937445563,1024,846
26,62.54779523241889,470.1868745057696,63.626205495046804,358.57141232378075,1024,846
27,63.626205495046804,358.57141232378075,109.45864165673306,359.11061745509465,1024,846
28,63.626205495046804,358.57141232378075,64.16541062636077,303.57248892975724,1024,846
29,64.16541062636077,303.57248892975724,137.49730848505877,302.4940786671293,1024,846
30,137.49730848505877,302.4940786671293,138.03651361637273,229.1621808084313,1024,846
31,138.03651361637273,229.1621808084313,175.24166767703568,229.1621808084313,1024,846
32,175.24166767703568,229.1621808084313,200.04510371747767,228.62297567711732,1024,846
33,175.24166767703568,229.1621808084313,175.24166767703568,303.57248892975724,1024,846
34,175.24166767703568,303.57248892975724,137.49730848505877,302.4940786671293,1024,846
35,175.24166767703568,303.57248892975724,175.24166767703568,376.9043867884552,1024,846
36,175.24166767703568,376.9043867884552,201.66271911141953,376.9043867884552,1024,846
37,175.24166767703568,376.9043867884552,174.70246254572174,403.86464335415303,1024,846
38,277.9625933318548,377.02373031714353,305.5617160740248,378.009413272221,1024,846
39,305.5617160740248,378.009413272221,324.2896922204973,377.02373031714353,1024,846
40,305.5617160740248,378.009413272221,305.5617160740248,229.1712870555186,1024,846
41,305.5617160740248,229.1712870555186,282.39816662970355,228.1856041004411,1024,846
42,305.5617160740248,229.1712870555186,306.05455755156356,163.6233705428649,1024,846
43,306.05455755156356,163.6233705428649,339.56777802419856,163.6233705428649,1024,846
44,306.05455755156356,163.6233705428649,305.06887459648607,80.3331608388162,1024,846
45,305.06887459648607,80.3331608388162,327.7395825632685,80.3331608388162,1024,846
46,412.01547522239474,79.84031936127745,435.179024666716,79.84031936127745,1024,846
47,435.179024666716,79.84031936127745,490.87011162859466,80.3331608388162,1024,846
48,435.179024666716,79.84031936127745,435.6718661442547,24.642073876937484,1024,846
49,435.6718661442547,24.642073876937484,491.8557945836722,24.642073876937484,1024,846
50,491.8557945836722,24.642073876937484,543.1113082477021,24.642073876937484,1024,846
51,491.8557945836722,24.642073876937484,490.87011162859466,80.3331608388162,1024,846
52,490.87011162859466,80.3331608388162,491.8557945836722,164.11621202040365,1024,846
53,381.189620758483,377.1017964071856,453.7485029940119,377.1017964071856,1024,846
54,453.7485029940119,377.1017964071856,491.56087824351295,377.1017964071856,1024,846
55,491.56087824351295,377.1017964071856,493.60479041916165,321.91616766467064,1024,846
56,493.60479041916165,321.91616766467064,454.7704590818363,321.91616766467064,1024,846
57,453.7485029940119,377.1017964071856,453.7485029940119,377.1017964071856,1024,846
58,454.7704590818363,321.91616766467064,454.7704590818363,321.91616766467064,1024,846
59,453.7485029940119,377.1017964071856,454.7704590818363,321.91616766467064,1024,846
60,491.8557945836722,164.11621202040365,493.60479041916165,321.91616766467064,1024,846
61,491.8557945836722,164.11621202040365,458.1769793745842,163.5129740518962,1024,846
62,491.8557945836722,164.11621202040365,547.598137059215,163.5129740518962,1024,846
63,608.2485235290736,24.642073876937488,695.7278857922017,25.05277510821978,1024,846
64,695.7278857922017,25.05277510821978,715.0308436624695,24.642073876937488,1024,846
65,695.7278857922017,25.05277510821978,695.7278857922017,80.49744133132913,1024,846
66,695.7278857922017,136.35280878572075,696.1385870234841,164.2804925129166,1024,846
67,696.1385870234841,164.2804925129166,618.5160543111309,165.51259620676345,1024,846
68,855.0799635297309,163.8697912816343,855.0799635297309,71.46201424311872,1024,846
69,855.0799635297309,71.46201424311872,853.4371586046017,52.15905637285102,1024,846
70,853.4371586046017,52.15905637285102,853.8478598358839,24.642073876937488,1024,846
71,780.7430406676361,24.231372645655195,780.7430406676361,52.15905637285102,1024,846
72,921.8043912175648,71.53692614770459,967.7924151696606,71.53692614770459,1024,846
73,967.7924151696606,71.53692614770459,965.7485029940119,164.53493013972056,1024,846
74,965.7485029940119,164.53493013972056,921.8043912175648,165.5568862275449,1024,846
75,965.7485029940119,164.53493013972056,966.7704590818363,247.31337325349298,1024,846
76,966.7704590818363,247.31337325349298,921.8043912175648,249.35728542914168,1024,846
77,855.0799635297309,163.8697912816343,853.404302506099,201.67073260885638,1024,846
78,853.404302506099,201.67073260885638,853.9957122791456,310.4901308494123,1024,846
79,696.1385870234841,164.2804925129166,752.2732313151475,165.0033266799734,1024,846
80,752.2732313151475,165.0033266799734,855.0799635297309,163.8697912816343,1024,846
81,752.2732313151475,165.0033266799734,752.864641088194,201.67073260885638,1024,846
82,752.864641088194,201.67073260885638,853.404302506099,201.67073260885638,1024,846
83,752.864641088194,201.67073260885638,752.2732313151475,340.6520292747838,1024,846
84,752.2732313151475,340.6520292747838,751.681821542101,377.9108449767133,1024,846
85,751.681821542101,377.9108449767133,855.1785318252386,377.3194352036668,1024,846
86,752.2732313151475,340.6520292747838,696.0893028757301,340.6520292747838,1024,846
87,696.0893028757301,340.6520292747838,695.4978931026836,377.9108449767133,1024,846
88,966.7704590818363,247.31337325349298,965.1807496118874,377.3194352036668,1024,846
89,965.1807496118874,377.3194352036668,920.8250166334,377.9108449767133,1024,846
90,965.1807496118874,377.3194352036668,965.1807496118874,638.1311451171731,1024,846
91,965.1807496118874,638.1311451171731,890.071708434982,638.1311451171731,1024,846
92,965.1807496118874,638.1311451171731,965.772159384934,749.3161824499151,1024,846
93,965.772159384934,749.3161824499151,952.1697346048645,750.499001996008,1024,846
94,890.071708434982,705.5518592444741,891.254527981075,750.499001996008,1024,846
95,891.254527981075,750.499001996008,906.0397723072375,750.499001996008,1024,846
96,891.254527981075,750.499001996008,863.4582686478896,749.9075922229616,1024,846
97,774.7468026909146,638.1311451171731,723.8855622089156,638.1311451171731,1024,846
98,723.8855622089156,638.1311451171731,723.2941524358691,658.2390774007541,1024,846
99,723.2941524358691,658.2390774007541,723.8855622089156,749.9075922229616,1024,846
100,723.8855622089156,749.9075922229616,752.2732313151475,750.499001996008,1024,846
101,752.2732313151475,750.499001996008,771.1983440526355,750.499001996008,1024,846
102,752.2732313151475,750.499001996008,751.0904117690545,796.0375545205885,1024,846
103,751.0904117690545,796.0375545205885,723.2941524358691,796.0375545205885,1024,846
